university,team_name,wins,losses,ties,team_mascot
Alabama State University,Hornets,14,17,0,Hornets
Alcorn State University,Braves,23,7,0,Hawk
American University,Eagles,9,19,0,Eagle
Appalachian State University,Mountaineers,14,14,0,Mountaineer
Arizona State University,Sun Devils,12,16,0,Devil
Arkansas State University,Red Wolves,14,14,0,Wolf
Auburn University,Tigers,22,12,0,Tigers
Austin Peay State University,Governors,8,19,0,Governor
Ball State University,Cardinals,13,16,0,Cardinal
Baylor University,Bears,11,17,0,Brown Bear
Bethune-Cookman University,Wildcats,8,19,0,Wildcat
Boise State University,Broncos,16,13,0,Bronco
Boston College,Eagles,20,11,0,Eagle
Boston University,Terriers,15,15,0,Terriers
Bowling Green State University,Falcons,12,15,0,Falcon
Bradley University,Braves,17,13,0,Gargoyle
Brigham Young University,Cougars,15,14,0,Cougar
Brown University,Bears,9,18,0,Brown Bear
Bucknell University,Bison,19,10,0,Bison
Butler University,Bulldogs,19,10,0,Bulldog
"California State University, Fresno",Bulldogs,23,9,0,Bulldog
"California State University, Fullerton",Titans,17,13,0,Elephant
Campbell University,Fighting Camels,5,22,0,Camel
Canisius College,Golden Griffins,20,10,0,Griffin
Central Michigan University,Chippewas,9,18,0,None
Charleston Southern University,Buccaneers,13,15,0,Pirate
Chicago State University,Cougars,16,11,0,Cougar
Clemson University,Tigers,16,13,0,Tigers
Cleveland State University,Vikings,21,8,0,Viking
Colgate University,Raiders,5,21,0,Raiders
College of William and Mary,Tribe,16,12,0,Griffin
College of the Holy Cross,Crusaders,9,19,0,Crusader
Colorado State University,Rams,18,12,0,Rams
Columbia University-Barnard College,Lions,13,13,0,Lion
Cornell University,Big Red,14,12,0,Brown Bear
Creighton University,Bluejays,20,12,0,Blue Jay
Dartmouth College,Big Green,5,21,0,Corsair
Davidson College,Wildcats,10,19,0,Wildcat
DePaul University,Blue Demons,19,10,0,Demon
Delaware State University,Hornets,12,17,0,Hornets
Drake University,Bulldogs,12,15,0,Bulldog
Drexel University,Dragons,10,18,0,Dragon
Duke University,Blue Devils,23,8,0,Devil
Duquesne University,Dukes,12,18,0,Duke
East Carolina University,Pirates,7,21,0,Pirates
East Tennessee State University,Buccaneers,9,18,0,Pirate
Eastern Illinois University,Panthers,20,10,0,Panther
Eastern Kentucky University,Colonels,16,13,0,Colonel
Eastern Michigan University,Eagles,15,13,0,Eagle
Eastern Washington University,Eagles,12,15,0,Eagle
Fairfield University,Stags,11,17,0,Stag
"Fairleigh Dickinson University, Metropolitan",Knights,21,10,0,Horse and devil
Florida A&M University,Rattlers,10,18,0,Diamondback Rattlesnake
Florida State University,Seminoles,14,16,0,Human and horse
Fordham University,Rams,19,12,0,Rams
Furman University,Paladins,7,21,0,Knight
George Mason University,Patriots,18,11,0,Patriot
George Washington University,Colonials,14,14,0,Colonial
Georgetown University,Hoyas,35,3,0,Bulldog
Georgia Institute of Technology,Yellow Jackets,27,8,0,Yellow Jacket
Georgia Southern University,Eagles,24,5,0,Eagle
Georgia State University,Panthers,2,26,0,Panther
Gonzaga University,Bulldogs,15,13,0,Bulldog
Grambling State University,Tigers,8,19,0,Tigers
Harvard University,Crimson,15,9,0,Pilgrim
Hofstra University,Pride,14,15,0,Lion
Houston Baptist University,Huskies,21,8,0,Husky
Howard University,Bison,16,12,0,Bison
Idaho State University,Bengals,15,18,0,Bengal Tiger
Illinois State University,Redbirds,22,8,0,Redbird
Indiana State University,Sycamores,14,15,0,Blue species-less genderless forest animal
"Indiana University, Bloomington",Hoosiers,19,14,0,None
Iona College,Gaels,26,5,0,Gael
Iowa State University,Cyclones,21,13,0,Cardinal
Jackson State University,Tigers,10,16,0,Tigers
Jacksonville University,Dolphins,15,14,0,Dolphin
James Madison University,Dukes,14,14,0,Bulldog
Kansas State University,Wildcats,14,14,0,Wildcat
Kent State University,Golden Flashes,17,13,0,Golden Eagle
La Salle University,Explorers,15,13,0,Explorers
Lafayette College,Leopards,15,13,0,Leopard
Lamar University,Cardinals,20,12,0,Cardinal
